English,Akuapem Twi
Is there any adverse reaction?,So asɛmmɔne bi wɔ akyi?
I need to make a phone call.,Ɛsɛ sɛ meyɛ tɛlɛfon kɔɔlo
I guess that you can't do it.,Misusuw sɛ wuntumi nyɛ saa.
Nobody is perfect.,Obiara nyɛ pɛ.
Registration starts at 2:30.,Nhohyɛmu no fi ase nɔn 2:30.
It's a sequel.,Ɛyɛ sini ntoaso.
He seems quite happy.,Asɛ nea n'ani gye kakra no
I'll be busy until 2:30.,Merenya adaagye kosi nɔnhwere 2:30.
Asamoah handed Abena a cup of coffee.,Asamoa de kɔfe kuruwa biako maa Abena.
You are not in a position to defend yourself.,Worentumi nka hwee ntete wo ho faako a wugyina no
I got a letter from my friend.,Minyaa krataa fii m'adamfo hɔ.
My little finger is swollen.,Me nsateaa ketewa no ahon.
Why are you two always fighting?,Dɛn nti na mo baanu ko bere biara?
It is absolutely necessary that you be at the meeting.,Ɛho hia pa ara sɛ wokɔ nhyiam no .
He was easily deceived and gave her some money.,Na ɛnyɛ den koraa sɛ wɔbɛdaadaa no ama no sika.
Japan is in eastern Asia.,Japan wɔ Asia apuei fam.
Asamoah ate all the food I had stashed.,Asamoa dii aduan a na mede asie no nyinaa
She seems to have a tendency to exaggerate things.,Asɛ nea ɔwɔ su bi a ɔkyerɛ nneɛma sen sɛnea ɛte
I hope everyone agrees.,Mebɔ mpae sɛ obiara begye atom.
Hope to see you again next year.,Hwɛ kwan sɛ afe a edi hɔ no mehu wo bio.
I didn't do it.,Manyɛ.
Asamoah and Abena live under the same roof.,Asamoa ne Abena te dan koro mu.
Asamoah has a very stressful job.,Asamoa adwuma ma ɔbrɛ pa ara
"Unfortunately, that rumor is true.","Awerɛhosɛm ne sɛ, saa atesɛm no yɛ nokware."
This plant grew little by little.,Saa afifide yi nyin nkakrankakra.
I thought it was just a metaphor.,Na misusuw sɛ ɛyɛ kasakoa bi kɛkɛ.
We got up after midnight.,Yɛsɔree ɔdasum.
Asamoah wished he hadn't spent so much money.,Asamoa yam a anka wanni sika pii saa
What scared Asamoah the most was the thought that he might not be able to walk again.,Nea na ɛyɛ Asamoa hu kɛse ne adwene a na ɔwɔ sɛ ebia ontumi nnantew bio no.
Sit beside me.,Tra me nkyɛn.
I work at this company.,Meyɛ adwuma wɔ saa adwumakuw yi mu.
"Knowing is nothing, imagination is everything.",Biribiara nni hɔ a ɛnsɛ sɛ wususuw ho ansa na woahu.
Asamoah got back together with Abena.,Asamoa ne Abena san bɔɔ mu
I didn't want to make the same mistake twice.,Ná mempɛ sɛ meyɛ mfomso koro no ara mprenu.
Heaven helps those who help themselves.,Ɔsoro boa wɔn a wɔboa wɔn ho.
Asamoah doesn't like it when he doesn't have enough money.,"Sɛ Asamoa nni sika podoɔ wɔ ne ho a, ɔmpɛ."
I should've stayed with Asamoah.,Anka ɛsɛ sɛ metra Asamoa ho
This is something I have to do.,Eyi yɛ biribi a ɛsɛ sɛ meyɛ.
He is about forty.,Wadi bɛyɛ mfe aduanan.
I don't think people should make a mountain of a mole hill.,Minsusuw sɛ ɛnsɛ sɛ nkurɔfo ma nsɛm yɛ kɛse sen sɛnea ɛte ankasa
He decided on the red car.,ɔfaa kai kɔkɔɔ no ho.
The stranger was too surprised to speak.,Ɛyɛɛ ɔhɔho no nwonwa dodo sɛ ɔbɛkasa.
"She doesn't like being alone, but I prefer it like that.","Ɔmpɛ sɛ ɔyɛ ankonam, nanso m'ani gye ho saa."
Do you want this guitar?,So wopɛ gitai yi?
"If he has time, he will come.","Sɛ onya bere a, ɔbɛba."
That house is really better than this house.,Saa fie no ye sen ofie yi ankasa.
I cannot accept an excuse like that.,Mintumi nnye anoyi a ɛte saa ntom.
They must have been tired.,Ɛbɛyɛ sɛ na wɔabrɛ.
A number of traffic accidents have happened recently.,Kar akwanhyia pii asisi nnansa yi.
Is there a flight in the afternoon?,So wimhyɛn bi betu awia?
Which house do they live in?,Ofie bɛn na wɔte mu?
Listen.,Tie.
There is a bargain sale at that store.,Wɔatete nneɛma so retɔn wɔ saa sotɔɔ no mu
Asamoah will finish serving his sentence next month.,"ɔsram a edi hɔ no, Asamoa befi afiase"
No one knows if he loves her or not.,Obiara nnim sɛ ɔdɔ no anaasɛ ɔnnɔ no a.
Asamoah had nothing to say.,Na Asamoa nni biribiara a ɔbɛka nti.
Can you open it?,So wubetumi abue?
Asamoah had a gun.,Na Asamoa wɔ tuo.
I don't know who I am.,Minnim nipa ko a meyɛ.
Asamoah wondered what Abena was making in the kitchen.,Na Asamoa ntumi nhu nea Abena reyɛ wɔ gyaade hɔ.
You are always complaining.,Wonwiinwii bere biara
I left my phone in the conference room.,Migyaw me tɛlɛfon wɔ nhyiam dan no mu.
I've climbed Mt. Fuji twice.,Maforo Fuji Bepɔw no mprenu.
He will find the bus stop easily.,Ɛnyɛ den koraa sɛ obehu bɔɔso gyinabea.
Asamoah likes Mexican food.,Asamoa pɛ Mexicofo aduan.
The drug smuggler was arrested at the airport.,Wɔkyeree nea ɔtɔn nnubɔne no wɔ wimhyɛn gyinabea hɔ.
Asamoah didn't want to see me.,Na Asamoa mpɛ sɛ ohu me.
I want to ask you about Asamoah.,Mepɛ sɛ mibisa wo Asamoa ho asɛm.
Do you have nightmares?,So woso dae bɔne?
What else would you like to eat?,Dɛn bio na wobɛpɛ sɛ wudi?
I should go with you.,Ɛsɛ sɛ me ne wo kɔ.
Could you please fix this?,So wubetumi adi eyi ho dwuma?
We were all set to leave when the phone rang.,Yɛn nyinaa yɛɛ nhyehyɛe sɛ yebefi hɔ ara pɛ na tɛlɛfon no bɔe.
"In terms of the pay you will get, is this a good job?","Wode w'akayua a wubenya no toto ho a, eyi yɛ adwuma pa?"
I left my passport somewhere.,Migyaw m'akwantu tumi krataa no wɔ baabi.
Asamoah is weak.,Asamoa yɛ mmerɛw.
I am very sad.,Me werɛ ahow yiye.
Did you accept his invitation?,Wugyee nsa a ɔto frɛɛ wo no so?
I can't do this anymore.,Mintumi nyɛ eyi bio.
He is the captain of the team.,Ɔno na ɔhwɛ kuw no so.
I used to eat pizza.,Na metaa di pizza
The capital of France is Paris.,France ahenkurow ne Paris.
She was jealous of her neighbor's good fortune.,Na n'ani bere ne fipamfo ahonyade.
I've run out of money.,Me sika asa
I'm not good at classifying things.,Minnim sɛnea yɛde nneɛma gu akuwakuw mu yiye
People are more conscious nowadays and choose healthy food.,"Nnansa yi, nkurɔfo hwɛ aduan  wodi  na wodi aduan a  ahoɔden wom pa ara"
Do you want to do that today?,So wopɛ sɛ woyɛ saa nnɛ?
I've never done this in my life.,Menyɛɛ eyi da wɔ m'abrabɔ mu.
"You live around here, don't you?","So wote ha baabi, ɛnte saa?"
One learns by doing.,Yɛnam saayɛ so na esua ade.
Can you answer this question?,Wubetumi abua saa asɛmmisa yi?
I saw him being scolded by his mother.,Mihuu sɛ ne maame reka n'anim.
Mathematics was his weakest subject in school.,Nkonatabu na na ɛyɛ adesuade a ɛyɛ den pa ara ma no wɔ sukuu mu
Our country must develop its natural resources.,Ɛsɛ sɛ yɛn man no ma yɛn asase so nneɛma no nya sombɔ .
He began running.,Ofii ase tuu mmirika.
We're the only Canadians here.,Yɛn nkutoo ne Canadafo a yɛwɔ ha.
Add a little more pepper.,Fa mako kakra ka ho.
He ate all of the apple.,Odii aprɛ no nyinaa.
Asamoah was eaten by a tiger.,ɔsebɔ bi wee Asamoa
They claimed that Harrison could not read or write.,Wɔn na na wɔseɛ sɛ Harrison nnim akenkan anaa akyerɛw.
Asamoah lost the bet.,Asamoa anni kyakya no.
I'll get Asamoah to listen.,Mɛma Asamoa atie me
What more does Asamoah need?,Dɛn bio na  Asamoa hia?
He knows the truth.,Onim nokware no.
Asamoah misled you.,Asamoa daadaa wo
"He said, ""I'm from Canada.""","Ɔkae sɛ, ""Mifi Canada. """
It's no use arguing with him.,Ɛho nhia sɛ wo ne no bedi akyinie
"No matter what you do, Asamoah will never agree.",Ɛmfa ho nea wobɛyɛ biara Asamoa renye ntom
She may come.,Obetumi aba.
I know I can make it.,Minim sɛ metumi ayɛ.
Nine million people voted in the election.,Nnipa ɔpepem akron na wɔtow aba no.
How often do you shower?,Mpɛn ahe na wotaa guare?
"In Serbia, the trains are very slow.","Wɔ Serbia no, keteke no yɛ nyaanyaa pa ara"
I've been expecting Asamoah.,Mahwɛ Asamoa anim a.
Are we going to eat?,So yekodidi?
It glows in the dark.,Ɛhyerɛn wɔ sum mu.
I'm not guilty.,Minni fɔ.
Everyone agreed.,Obiara penee so.
I just want to talk a minute.,Nea mepɛ ara ne sɛ mekasa sima biako
This is how we cook rice.,Sei na yɛnoa ɛmo.
I can't think clearly sometimes.,Ɛtɔ mmere bi a mintumi nnwene nneɛma ho yiye.
"If you gave him another chance, he'd do his best.","Sɛ woma no akwanya foforow a, ɔbɛbɔ ne mmɔden"
Just forget it.,Wodeɛ gyae.
Where did you pick up your Italian?,Ɛhe na wofaa Italini no fii?
This piano has probably not been tuned for years.,Ebia mfe pii ni na wɔmfaa saa adakabɛn yi nkɔɔ asiesie
I have to learn Japanese.,Ɛsɛ sɛ misua Japanfo kasa.
Silkworms spin cocoons.,Nsonsono a yenya silike ffirim mu no yɛ ade a wɔde kata wɔn ho no .
Asamoah took some food home.,Asamoa faa aduan bi kɔɔ fie
What's the average temperature here?,"Sɛ wɔkyekyem pɛpɛɛpɛ a, wim tebea te dɛn wɔ ha?"
There were only a few patches of vegetation near the river.,Na afifide kakraa bi pɛ na ɛwɔ asubɔnten no ho.
"I respect you, Asamoah.","Mewɔ obu ma wo, Asamoa"
She does not like sushi.,Ɔmpɛ sushi.
He seemed to have been ill.,Asɛ na wayare
This is a wooden comb.,Eyi yɛ dua afe
Asamoah got into the car and slammed the door shut.,Asamoa tenaa kai no mu na ɔtoo pon no mu denneennen.
I look forward to meeting you.,Mehwɛ kwan sɛ mehyia wo.
Do you want to watch the baseball game on TV?,So wopɛ sɛ wohwɛ baseball agodie wɔ TV so?
Keep practicing.,Kɔ so ara yɛ hwɛ
We walked across the ice.,Yɛfaa nsukyenee no so
Just a moment. I haven't made up my mind yet.,"Sima biako, mennya nyɛɛ m'adwene"
What's the oldest thing you own?,Dɛn ne ade a akyɛ sen biribiara a wowɔ?
Asamoah politely pretended not to notice that Abena had been crying.,Asamoa yɛɛ ne ho sɛ onhuu sɛ Abena resu wɔ obuo mu.
He filed a complaint.,Ɔde asɛm bi kɔɔ polisifo anim
She lives with him in a small apartment.,Ɔne no te ofie ketewaa bi mu.
Who do you want to talk to?,Hena na wopɛ sɛ wo ne no kasa?
His long absences were starting to provoke suspicion.,"Esiane abere atenten a na ɔntaa nni hɔ nti, afoforow hyɛɛ ase nyaa ne ho adwemmɔne."
"Though it was cold, he didn't light the fire.","Ɛwom sɛ na awɔw wom de, nanso wansɔ gya no."
What a fiasco!,Hwɛ sɛnea eyi yɛ atosɛm!
"He tried it again, but in vain.","Ɔsan sɔɔ hwɛe bio, nanso ankosi hwee."
Asamoah and Abena got married in 2013.,Asamoa ne Abena waree afe 2013.
"I don't need to sound like a native speaker, I just want to be able to speak fluently.","Ɛho nhia sɛ mitumi kasa te sɛ kuromani , na mmom mepɛ sɛ mitumi kasa yiye."
I need some soap.,Mepɛ samina
I didn't do anything illegal.,Manyɛ biribiara a mmara mma ho kwan.
My brother looks a lot like me.,Me nuabarima sɛ me pa ara.
Asamoah doesn't want to do this.,Asamoa mpɛ sɛ ɔyɛ eyi.
Asamoah has never seen Abena smile.,Asamoa nhuu Abena sɛ ɔserew da.
When did this custom start?,Bere bɛn na amanne yi fii ase?
What flavor is that ice cream?,Saa ice cream no yɛ dɛ dɛn?
Asamoah can eat pretty much anything.,Asamoa betumi adi biribiara
I didn't speak with Asamoah directly.,Ɛnyɛ me ne Asamoa ankasa na ɛkasae
She seems to be fond of talking about herself.,Asɛ nea n'ani gye ho sɛ ɔka n'ankasa ne ho asɛm.
Why do you all look so happy?,Dɛn nti na mo nyinaa ani gye saa?
I've seen Asamoah on TV many times.,Mahu Asamoa wɔ TV so mpɛn pii.
This book is really interesting.,Nwoma yi yɛ anigye ankasa.
That man should be sentenced to death.,Ɛsɛ sɛ wobu saa ɔbarima no kumfɔ sɛ onwu.
Asamoah works for a translation agency.,Asamoa yɛ adwuma ma adwumakuw bi a wɔkyerɛ kasa ahorow ase.
Asamoah pretended not to know anything about the situation.,Asamoa yɛɛ ne ho sɛ onnim tebea no ho hwee.
Are you blaming me?,So wode asodi no reto me so?
This is a green notebook.,Eyi yɛ nwoma a ɛyɛ ahabanmono
Asamoah said he hadn't had a good home-cooked meal for a long time.,"Asamoa kae sɛ, na onnyaa fie aduan pa nnii wɔ bere tenten mu."
I haven't said anything yet.,Minya nkaa hwee.
You’d better lie low for a few weeks.,Fa wo ho tetɛ dapɛn kakraa bi.
Asamoah was lucky that he didn't lose his job.,Asamoa ti yɛ sɛ n'adwuma no amfi ne nsa.
We got a hostile reception from the villagers.,Akuraa no asefo anye yɛn fɛw so.
Asamoah and Abena almost always play tennis after school.,"Ɛkame ayɛ sɛ bere biara a sukuu bɛpɔn no, Asamoa ne Abena bɔ tɛnese"
Everybody knows that.,Obiara nim saa.
Who invented this strange machine?,Hena na ɔyɛɛ afiri huhuhu yi?
Is Asamoah asleep?,So Asamoa ada?
You're the only person I know that likes getting up early in the morning.,Wo nkutoo ne onipa a minim sɛ wopɛ sɛ wɔsɔre ntɛm anɔpa.
Would you rather be blind or be deaf?,So wobɛpɛ sɛ w'ani befura anaasɛ wobɛyɛ sosifo?
He made a robot.,Ɔyɛɛ robɔte bi.
Asamoah is eating his favorite ice cream.,Asamoa redi ice cream a n'ani gye ho pa ara no
Asamoah took his family to the zoo.,Asamoa de n'abusua kɔɔ mmoa yɛmmea hɔ
Asamoah couldn't understand Abena at all.,Asamoa antumi ante Abena ase koraa
I'd like to withdraw some cash.,Mepɛ sɛ miyi sika.
I'll stay home.,Mɛtra fie.
I have more work to do.,Mewɔ adwuma pii yɛ.
I think I should leave.,Misusuw sɛ ɛsɛ sɛ mekɔ
I'm going back to sleep.,Meresan ada.
It's my duty to help you.,Ɛyɛ m'asɛde sɛ meboa wo.
I don't care what people think about the way I dress.,Memfa ho ne adwene a nkurɔfo kura wɔ atade a mehyɛ ho no
Lightning never strikes twice in the same place.,Hann a ɛbɔ no mpue mprenu wɔ beae koro no ara.
We had fun.,Yɛn ani gyei.
I can do that if you let me.,"Sɛ woma me kwan a, metumi ayɛ saa."
The scandal ruined his career.,Aniwude no sɛee n'adwuma.
I don't know what to do about it.,Minhu nea menyɛ wɔ ho.
It would be highly desirable for you to come.,Ɛbɛyɛ papa pa ara sɛ woba.
You should rewrite this sentence. It doesn't make sense.,"ɛsɛ sɛ wokyerɛw saa ɔkasamu yi bio, ntease nnim"
The government was overthrown.,Wotuu aban no fii so
We're baffled.,Yɛn adwene nsi yɛn pi.
It's totally normal.,Asɛm biara nni ho.
Boston is where I want to go.,Boston ne beae a mepɛ sɛ mekɔ.
It is definite that he will go to America.,Ɛda adi pefee sɛ ɔbɛkɔ Amerika.
"In my opinion, alcohol is not necessarily bad for your health.",M'adwene mu de mmoronsa nhyɛda nyɛ ade bɔne ma w'akwahosan.
She's at the hotel now.,Mprempren yi ɔwɔ hotɛɛle hɔ
Do you believe ghosts exist?,So wugye di sɛ saman wɔ hɔ?
The children ran down the hill.,Mmofra no tuu mmirika sanee bepɔw no
That tie really suits you.,Saa tai no fata wo pa ara
Alain focused all his attention on his cat.,Alain de n'adwene nyinaa sii ne kra no so.
Asamoah's house burned down.,Asamoa fie no hyewee
There's nothing we can do.,Biribiara nni hɔ a yebetumi ayɛ.
I am not as interested in literature as you.,M'ani nnye kasadwini ho sɛnea w'ani gye ho no
You go first.,"Wo, di kan kɔ."
Asamoah worked for weeks on that project.,Asamoa yɛɛ adwuma dapɛn abiesa wɔ saa adwuma no ho
Asamoah and Abena both trusted John.,"Asamoa ne Abena, wɔn baanu no nyinaa gyee John dii"
I bought a camera the other day.,"Da no, metɔɔ afiri a wɔde twa mfonini."
I have to tell Asamoah something.,Ɛsɛ sɛ meka biribi kyerɛ Asamoa
He fainted and fell on his back.,Otwa hwee na ɔde n'akyi bɔɔ fam.
It seemed that he had visited the office.,Asɛ nea ɔkɔɔ adwumayɛbea hɔ no.
Why doesn't Asamoah answer?,Dɛn nti na adwene nye so?
Asamoah reads more books than anyone else I know.,Asamoa kenkan nwoma pii sen obibiara a minim
Look at these.,Hwɛ eyinom.
"Some people like summer, and others like winter.","Ebinom ani gye ahohuru bere ho, na afoforo nso ani gye awɔw bere ho."
"Above all, logic requires precise definitions.","Nea ɛsen biribiara no, adwenkyerɛ a akyinnye nni ho no hia  nkyerɛkyerɛmu a edi mũ."
Asamoah doesn't know what to do anymore.,Asamoa nnim nea ɛsɛ sɛ ɔyɛ bio.
He never fails to write to his mother every week.,Ɔkyerɛw ne maame dapɛn biara da ɔto mu da
It's a beautiful picture.,Ɛyɛ mfonini a ɛyɛ fɛw.
I want to drink some water.,Mepɛ sɛ menom nsu
I have difficulty breathing.,Ɛyɛ den ma me sɛ metumi ahome.
This is the dumbest idea ever.,Eyi ne nsusuwii a nyansa nnim koraa
Just tell me what you want.,Ka nea wopɛ kɛkɛ kyerɛ me.
I cried while reading this book.,"Bere a merekenkan saa nwoma yi no, misui."
It would seem that you know something that I don't.,Asɛ nea wunim biribi a minnim.
Violence is the cancer of our society.,Basabasayɛ yɛ yɛn man yi mu kokoram.
I have to do something else now.,Seesei ɛsɛ sɛ meyɛ biribi foforow.
We hired a crane to lift the new air conditioner and place it on the roof.,Yɛkɔhanee afiri a wɔde ma nneɛma a emu yɛ duru so no bɛmaa afiri a ɛma wim yɛ nwini no so
I'm getting married on Monday.,Merebɛware Dwowda.
He's a patient man.,Ɔyɛ ɔbarima a ɔwɔ abotare.
Few people attended the meeting.,Nnipa kakraa bi na wɔkɔɔ nhyiam no.
It's dangerous to swim in this river.,Ɛyɛ hu sɛ wubeguare wɔ asubɔnten yi mu.
"Once you start eating popcorn, it's almost impossible to stop.","Sɛ wufi ase di pɔpokɔno a, ɛkame ayɛ sɛ wuntumi nnyae."
We speak Japanese.,Yɛka Japanfo kasa.
They were ready.,Na wɔayɛ krado .
Asamoah became blind.,Asamoa ani furae.
I didn't know that Asamoah was Canadian.,Na minnim sɛ Asamoa yɛ Canadani.
Asamoah warned Abena not to go out by herself after dark.,"Asamoa bɔɔ Abena kɔkɔ sɛ sɛ ade sa a, ɛnsɛ sɛ ne nkutoo pue"
Asamoah struck the wall with his fist.,Asamoa de ne koto bɔɔ ɔfasu no mu
I don't drink wine.,Mennom waene.
Asamoah and Abena are always arguing about how to raise their children.,"Asamoa ne Abena , bere nyinaa wɔresusuw ɔkwan a wɔbɛfa so atete wɔn mma no ho."
Everyone wants to be Asamoah's friend.,Obiara pɛ sɛ ɔyɛ Asamoa adamfo.
What's with the broom?,Na prayɛ yi nso ɛ?
I've never been so proud of Asamoah.,M'ani nnyee Asamoa ho saa da.
The situation gets worse and worse.,Tebea no sɛe ara na ɛsɛe
I found her very amusing.,Ne ho yɛɛ me anika yiye
I'm just a boy who makes mistakes.,Meyɛ abarimaa a meyɛ mfomso kɛkɛ
Do I look like a terrorist?,So me ho sɛ otutrani?
Is that your real name?,So wo din ankasa no no?
Please don't touch the exhibits.,Yɛsrɛ sɛ mfa wo nsa nka nea yɛdebɛkyerɛ no
She stopped smoking.,Ogyaee sigaretenom.
Asamoah can't tell the difference between expensive wine and cheap wine.,Sɛnea Koosa ntumi nkyerɛ nsonsonoe a ɛwɔ waene a ne bo yɛ den ne waene a ne bo nyɛ den ntam.
